Timestamp,Detection Status,Number of Circles
2025-03-13 08:46:26.128845,Missed,0
2025-03-13 08:46:26.363197,Missed,0
2025-03-13 08:46:26.631205,Missed,0
2025-03-13 08:46:26.898825,Missed,0
2025-03-13 08:46:27.120939,Missed,0
2025-03-13 08:46:27.365102,Missed,0
2025-03-13 08:46:27.629486,Missed,0
2025-03-13 08:46:27.862784,Missed,0
2025-03-13 08:46:28.105807,Missed,0
2025-03-13 08:46:28.366275,Missed,0
2025-03-13 08:46:28.608348,Missed,0
2025-03-13 08:46:28.864502,Missed,0
2025-03-13 08:46:29.119807,Missed,0
2025-03-13 08:46:29.354560,Missed,0
2025-03-13 08:46:29.592488,Missed,0
2025-03-13 08:46:29.830919,Missed,0
2025-03-13 08:46:30.063652,Missed,0
2025-03-13 08:46:30.328991,Detected,1
2025-03-13 08:46:30.595780,Missed,0
2025-03-13 08:46:30.828845,Missed,0
2025-03-13 08:46:31.063023,Missed,0
2025-03-13 08:46:31.294404,Missed,0
2025-03-13 08:46:31.528637,Missed,0
2025-03-13 08:46:31.793778,Missed,0
2025-03-13 08:46:32.225077,Missed,0
2025-03-13 08:46:32.534660,Missed,0
2025-03-13 08:46:32.804002,Missed,0
2025-03-13 08:46:33.064720,Missed,0
2025-03-13 08:46:33.328079,Detected,1
2025-03-13 08:46:33.559692,Detected,1
2025-03-13 08:46:33.806530,Detected,1
2025-03-13 08:46:34.061906,Detected,1
2025-03-13 08:46:34.360109,Missed,0
2025-03-13 08:46:34.627092,Missed,0
2025-03-13 08:46:34.860462,Missed,0
2025-03-13 08:46:35.102955,Detected,1
2025-03-13 08:46:35.373383,Missed,0
2025-03-13 08:46:35.635622,Missed,0
2025-03-13 08:46:35.906061,Detected,1
2025-03-13 08:46:36.145054,Detected,1
2025-03-13 08:46:36.385141,Missed,0
2025-03-13 08:46:36.626006,Missed,0
2025-03-13 08:46:36.877932,Missed,0
2025-03-13 08:46:37.132253,Missed,0
2025-03-13 08:46:37.392596,Missed,0
2025-03-13 08:46:37.624894,Detected,1
2025-03-13 08:46:37.857857,Detected,1
2025-03-13 08:46:38.092869,Detected,1
2025-03-13 08:46:38.369306,Missed,0
2025-03-13 08:46:38.625096,Missed,0
2025-03-13 08:46:38.857962,Missed,0
2025-03-13 08:46:39.092170,Missed,0
2025-03-13 08:46:39.324289,Missed,0
2025-03-13 08:46:39.557874,Missed,0
2025-03-13 08:46:39.792532,Missed,0
2025-03-13 08:46:40.060429,Missed,0
2025-03-13 08:46:40.327107,Detected,1
2025-03-13 08:46:40.587114,Missed,0
2025-03-13 08:46:40.817188,Missed,0
2025-03-13 08:46:41.055870,Missed,0
2025-03-13 08:46:41.296286,Missed,0
2025-03-13 08:46:41.559133,Missed,0
2025-03-13 08:46:41.823195,Missed,0
2025-03-13 08:46:42.047729,Missed,0
2025-03-13 08:46:42.285232,Missed,0
2025-03-13 08:46:42.527187,Missed,0
2025-03-13 08:46:42.795233,Missed,0
2025-03-13 08:46:43.054769,Missed,0
2025-03-13 08:46:43.284005,Missed,0
2025-03-13 08:46:43.527088,Missed,0
2025-03-13 08:46:43.784929,Missed,0
2025-03-13 08:46:44.022154,Missed,0
2025-03-13 08:46:44.258168,Missed,0
2025-03-13 08:46:44.525627,Missed,0
2025-03-13 08:46:44.777609,Missed,0
2025-03-13 08:46:45.015774,Missed,0
2025-03-13 08:46:45.256722,Missed,0
2025-03-13 08:46:45.529870,Missed,0
2025-03-13 08:46:45.788963,Missed,0
2025-03-13 08:46:46.021274,Missed,0
2025-03-13 08:46:46.255943,Missed,0
2025-03-13 08:46:46.556004,Missed,0
2025-03-13 08:46:46.820019,Missed,0
2025-03-13 08:46:47.056837,Detected,1
2025-03-13 08:46:47.309299,Missed,0
2025-03-13 08:46:47.549244,Missed,0
2025-03-13 08:46:47.792028,Missed,0
2025-03-13 08:46:48.063543,Missed,0
2025-03-13 08:46:48.321707,Missed,0
2025-03-13 08:46:48.561956,Missed,0
2025-03-13 08:46:48.910321,Missed,0
2025-03-13 08:46:49.191687,Missed,0
2025-03-13 08:46:49.429290,Missed,0
2025-03-13 08:46:49.691340,Missed,0
2025-03-13 08:46:49.928919,Missed,0
2025-03-13 08:46:50.198848,Missed,0
2025-03-13 08:46:50.467113,Missed,0
2025-03-13 08:46:50.792235,Missed,0
2025-03-13 08:46:51.092035,Missed,0
2025-03-13 08:46:51.382106,Missed,0
2025-03-13 08:46:51.653599,Missed,0
2025-03-13 08:46:51.872974,Missed,0
2025-03-13 08:46:52.107584,Missed,0
2025-03-13 08:46:52.353662,Missed,0
2025-03-13 08:46:52.725645,Missed,0
2025-03-13 08:46:52.992179,Missed,0
2025-03-13 08:46:53.243583,Missed,0
2025-03-13 08:46:53.477183,Missed,0
2025-03-13 08:46:53.721483,Missed,0
2025-03-13 08:46:53.990027,Missed,0
2025-03-13 08:46:54.256522,Missed,0
2025-03-13 08:46:54.520917,Missed,0
2025-03-13 08:46:54.779974,Missed,0
2025-03-13 08:46:55.019252,Missed,0
2025-03-13 08:46:55.286421,Missed,0
2025-03-13 08:46:55.550292,Missed,0
2025-03-13 08:46:55.820253,Missed,0
2025-03-13 08:46:56.086522,Detected,1
2025-03-13 08:46:56.433727,Detected,1
2025-03-13 08:46:56.971252,Detected,1
2025-03-13 08:46:57.524213,Missed,0
2025-03-13 08:46:57.858775,Missed,0
2025-03-13 08:46:58.111217,Missed,0
2025-03-13 08:46:58.357868,Detected,1
2025-03-13 08:46:58.663036,Missed,0
2025-03-13 08:46:58.919318,Missed,0
2025-03-13 08:46:59.187987,Missed,0
2025-03-13 08:46:59.455375,Missed,0
2025-03-13 08:46:59.720781,Missed,0
2025-03-13 08:46:59.985728,Missed,0
2025-03-13 08:47:00.241532,Missed,0
2025-03-13 08:47:00.548835,Missed,0
2025-03-13 08:47:00.818622,Missed,0
2025-03-13 08:47:01.053115,Missed,0
2025-03-13 08:47:01.320009,Missed,0
2025-03-13 08:47:01.576202,Missed,0
2025-03-13 08:47:01.818545,Missed,0
2025-03-13 08:47:02.075879,Missed,0
2025-03-13 08:47:02.369920,Missed,0
2025-03-13 08:47:02.622106,Missed,0
2025-03-13 08:47:02.887241,Detected,1
2025-03-13 08:47:03.152743,Missed,0
2025-03-13 08:47:03.411869,Missed,0
2025-03-13 08:47:03.650711,Missed,0
2025-03-13 08:47:03.917999,Missed,0
2025-03-13 08:47:04.189125,Missed,0
2025-03-13 08:47:04.456735,Missed,0
2025-03-13 08:47:04.718178,Missed,0
2025-03-13 08:47:04.984442,Missed,0
2025-03-13 08:47:05.250492,Missed,0
2025-03-13 08:47:05.522185,Missed,0
2025-03-13 08:47:05.891841,Missed,0
2025-03-13 08:47:06.186473,Missed,0
2025-03-13 08:47:06.452117,Missed,0
2025-03-13 08:47:06.708255,Missed,0
2025-03-13 08:47:06.951472,Missed,0
2025-03-13 08:47:07.218422,Missed,0
2025-03-13 08:47:07.469411,Missed,0
2025-03-13 08:47:07.761029,Missed,0
2025-03-13 08:47:08.019193,Missed,0
2025-03-13 08:47:08.281975,Missed,0
2025-03-13 08:47:08.550066,Missed,0
2025-03-13 08:47:08.847622,Missed,0
2025-03-13 08:47:09.113454,Missed,0
2025-03-13 08:47:09.381200,Missed,0
2025-03-13 08:47:09.604342,Missed,0
2025-03-13 08:47:09.865880,Missed,0
2025-03-13 08:47:10.165531,Detected,1
2025-03-13 08:47:10.419652,Missed,0
2025-03-13 08:47:10.683240,Missed,0
2025-03-13 08:47:10.947771,Missed,0
2025-03-13 08:47:11.215848,Missed,0
2025-03-13 08:47:11.467383,Missed,0
2025-03-13 08:47:11.704377,Missed,0
2025-03-13 08:47:11.949538,Missed,0
2025-03-13 08:47:12.196877,Missed,0
2025-03-13 08:47:12.447860,Missed,0
2025-03-13 08:47:12.715237,Missed,0
2025-03-13 08:47:12.978876,Missed,0
2025-03-13 08:47:13.202038,Missed,0
2025-03-13 08:47:13.445887,Missed,0
2025-03-13 08:47:13.713159,Missed,0
2025-03-13 08:47:13.965741,Missed,0
2025-03-13 08:47:14.204196,Missed,0
2025-03-13 08:47:14.447454,Missed,0
2025-03-13 08:47:14.698045,Missed,0
2025-03-13 08:47:14.945558,Missed,0
2025-03-13 08:47:15.213330,Missed,0
2025-03-13 08:47:15.458406,Missed,0
2025-03-13 08:47:15.702912,Missed,0
2025-03-13 08:47:15.942685,Missed,0
2025-03-13 08:47:16.176105,Missed,0
2025-03-13 08:47:16.408721,Missed,0
2025-03-13 08:47:16.651982,Detected,1
2025-03-13 08:47:16.910340,Missed,0
2025-03-13 08:47:17.177039,Detected,1
2025-03-13 08:47:17.399731,Detected,1
2025-03-13 08:47:17.634857,Detected,1
2025-03-13 08:47:17.877905,Missed,0
2025-03-13 08:47:18.137477,Detected,1
2025-03-13 08:47:18.372456,Detected,1
2025-03-13 08:47:18.686180,Detected,1
2025-03-13 08:47:18.977564,Missed,0
2025-03-13 08:47:19.240649,Detected,1
2025-03-13 08:47:19.466262,Detected,1
2025-03-13 08:47:19.708406,Missed,0
2025-03-13 08:47:19.941760,Detected,1
2025-03-13 08:47:20.215527,Detected,2
2025-03-13 08:47:20.474077,Detected,1
2025-03-13 08:47:20.788183,Detected,1
2025-03-13 08:47:21.105554,Missed,0
2025-03-13 08:47:21.430146,Missed,0
2025-03-13 08:47:21.758379,Detected,1
2025-03-13 08:47:22.042569,Missed,0
2025-03-13 08:47:22.282607,Missed,0
2025-03-13 08:47:22.573116,Missed,0
2025-03-13 08:47:22.888402,Detected,1
2025-03-13 08:47:23.144902,Missed,0
2025-03-13 08:47:23.392402,Detected,1
2025-03-13 08:47:23.623810,Detected,1
2025-03-13 08:47:23.874118,Detected,2
